category,opendb_id,name,manufacturer,part_numbers,socket,cpu_tdp_w,motherboard_ram_type,motherboard_form_factor,ram_type,ram_generation,ram_capacity_gb,ram_modules_quantity,gpu_tdp_w,gpu_memory_gb,psu_wattage_w,psu_efficiency_rating,case_form_factor,case_supported_motherboard_form_factors,storage_type,storage_interface,storage_nvme,storage_capacity_gb,price,score,reviews,pricing_match_sku,source_file
CPU,027a11fe-1453-496a-a50b-33824cc8e3fd,AMD Threadripper 1900X 3.8 GHz 8-Core sTR4,AMD,YD190XA8AEWOF|116727|YD190XA8U8QAE,TR4,180,,,,,,,,,,,,,,,,,189.99,10,5,YD190XA8AEWOF,CPU/027a11fe-1453-496a-a50b-33824cc8e3fd.json
CPU,04ee90ac-3af8-453e-afcb-1e0172871e42,Intel Core i5 8400 2.8 GHz 6-Core LGA1151,Intel,BX80684I58400,LGA 1151,65,,,,,,,,,,,,,,,,,164.2561983,9.36,702,BX80684I58400,CPU/04ee90ac-3af8-453e-afcb-1e0172871e42.json
CPU,06a6ec99-73aa-4cac-9cfb-21fa974ebe70,AMD Ryzen 5 3400G 3.7 GHz 4-Core AM4,AMD,Ryzen 5 3400G|YD3400C5FHBOX,AM4,65,,,,,,,,,,,,,,,,,139.9,9.44,431,YD3400C5FHBOX,CPU/06a6ec99-73aa-4cac-9cfb-21fa974ebe70.json
CPU,083df030-ec2f-4971-8605-adf389bea28d,Intel Core i3 9100 3.6 GHz 4-Core LGA1151,Intel,BX80684I39100|i3-9100,LGA 1151,65,,,,,,,,,,,,,,,,,109.9,9.21,58,BX80684I39100,CPU/083df030-ec2f-4971-8605-adf389bea28d.json
CPU,08586f00-ac44-4e13-9693-2703f62023f5,AMD Threadripper 2920X 3.5 GHz 12-Core sTR4,AMD,YD292XA8AFWOF|116961,TR4,180,,,,,,,,,,,,,,,,,663.89,9.82,11,YD292XA8AFWOF,CPU/08586f00-ac44-4e13-9693-2703f62023f5.json
CPU,0b720985-1e1d-41a9-8ea8-aefcd398e2c5,AMD A-Series A12 9800E 3.1 GHz 4-Core AM4,AMD,AD9800AHABBOX|B961023,AM4,35,,,,,,,,,,,,,,,,,104.98,8.67,6,AD9800AHABBOX,CPU/0b720985-1e1d-41a9-8ea8-aefcd398e2c5.json
CPU,0e3a1478-3653-450c-ab32-b9755695c75b,Intel Core i9 10850K 3.6 GHz 10-Core LGA1200,Intel,BX8070110850K,LGA 1200,125,,,,,,,,,,,,,,,,,479.9,9.82,11,BX8070110850K,CPU/0e3a1478-3653-450c-ab32-b9755695c75b.json
CPU,0e76b77a-5b18-453b-888e-80246be54522,Intel Core i7 9800X 3.8 GHz 8-Core LGA2066,Intel,BX80673I79800X,LGA 2066,165,,,,,,,,,,,,,,,,,359.5454545,10,5,BX80673I79800X,CPU/0e76b77a-5b18-453b-888e-80246be54522.json
CPU,0f8f2a55-de64-490d-8f62-a11398b6f8f8,AMD Ryzen 5 3600X 3.8 GHz 6-Core AM4,AMD,Ryzen 5 3600X|100-100000022BOX,AM4,95,,,,,,,,,,,,,,,,,226.9,9.56,1019,100-100000022BOX,CPU/0f8f2a55-de64-490d-8f62-a11398b6f8f8.json
CPU,10209f87-57b3-4216-8b3e-c9c213e46b07,Intel Core i9 10900F 2.8 GHz 10-Core LGA1200,Intel,BX8070110900F|10900,LGA 1200,65,,,,,,,,,,,,,,,,,436.89,0,0,BX8070110900F,CPU/10209f87-57b3-4216-8b3e-c9c213e46b07.json
CPU,11089f7c-893e-4f70-94c8-61078ed84f68,Intel Core i5 9500 3.0 GHz 6-Core LGA1151,Intel,BX80684I59500,LGA 1151,65,,,,,,,,,,,,,,,,,167,9.71,7,BX80684I59500,CPU/11089f7c-893e-4f70-94c8-61078ed84f68.json
CPU,129aed7c-71fc-4e26-8a7d-527d88eae596,AMD Ryzen 9 3900XT 3.8 GHz 12-Core AM4,AMD,100-100000277WOF|AMD Ryzen 9 3900XT,AM4,105,,,,,,,,,,,,,,,,,499.9,9.33,15,100-100000277WOF,CPU/129aed7c-71fc-4e26-8a7d-527d88eae596.json
CPU,1307646f-0cde-4600-9ea8-7208cc2376c9,AMD Ryzen Threadripper 2990WX,AMD,YD299XAZAFWOF|116580,TR4,250,,,,,,,,,,,,,,,,,1805.719008,10,7,YD299XAZAFWOF,CPU/1307646f-0cde-4600-9ea8-7208cc2376c9.json
CPU,14edddda-4629-4c09-90ea-5c209827d82a,AMD FX FX FX-8370 4 GHz 8-Core AM3+,AMD,FD8370FRHKHBX,AM3+,125,,,,,,,,,,,,,,,,,67.99,9.68,19,FD8370FRHKHBX,CPU/14edddda-4629-4c09-90ea-5c209827d82a.json
CPU,15af1312-b8a1-4790-bda1-06a408ffa51a,Intel Core i7 6700K 4 GHz 4-Core LGA1151,Intel,BX80662I76700K|4512,LGA 1151,91,,,,,,,,,,,,,,,,,276.9,9.65,1682,BX80662I76700K,CPU/15af1312-b8a1-4790-bda1-06a408ffa51a.json
CPU,17d31bbf-994a-4a54-bfd8-0bfa5b2093ff,Intel Core i5 9500F 3 GHz 6-Core LGA1151,Intel,BX80684I59500F,LGA 1151,65,,,,,,,,,,,,,,,,,184.9,9.6,10,BX80684I59500F,CPU/17d31bbf-994a-4a54-bfd8-0bfa5b2093ff.json
CPU,182326d2-d7a5-495e-811c-2b6bcb28e029,AMD Ryzen 3 1300X 3.5 GHz 4-Core AM4,AMD,YD130XBBAEBOX,AM4,65,,,,,,,,,,,,,,,,,112.1157025,9.33,95,YD130XBBAEBOX,CPU/182326d2-d7a5-495e-811c-2b6bcb28e029.json
CPU,1bfc789d-fdf7-44d4-88d3-a5f1d5b2dc7c,Intel Core i9 10900KF 3.7 GHz 10-Core LGA1200,Intel,BX8070110900KF|i9-10900KF,LGA 1200,125,,,,,,,,,,,,,,,,,529.9,10,2,BX8070110900KF,CPU/1bfc789d-fdf7-44d4-88d3-a5f1d5b2dc7c.json
CPU,1d316a65-4f63-447e-b3ea-ca485c4334ac,Intel Core i3 9100F 3.6 GHz 4-Core LGA1151,Intel,BX80684i39100F|i3-9100F|BX80684I39100F,LGA 1151,65,,,,,,,,,,,,,,,,,72,9.18,267,BX80684i39100F,CPU/1d316a65-4f63-447e-b3ea-ca485c4334ac.json
CPU,1ede694a-b736-40f7-b161-e16210679772,Intel Core i9 10900 2.8 GHz 10-Core LGA1200,Intel,BX8070110900,LGA 1200,65,,,,,,,,,,,,,,,,,439.9,10,2,BX8070110900,CPU/1ede694a-b736-40f7-b161-e16210679772.json
CPU,208a3655-6a27-46c3-a276-acfe05108b36,Intel Core i9 9980XE 3 GHz 18-Core LGA2066,Intel,BX80673I99980X,LGA 2066,165,,,,,,,,,,,,,,,,,834.6363636,9,6,BX80673I99980X,CPU/208a3655-6a27-46c3-a276-acfe05108b36.json
CPU,21d217b9-d570-482c-bc1f-d88ffba9f868,Intel Core i3 10300 3.7 GHz 4-Core LGA1200,Intel,BX8070110300,LGA 1200,65,,,,,,,,,,,,,,,,,149.89,10,1,BX8070110300,CPU/21d217b9-d570-482c-bc1f-d88ffba9f868.json
